Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,id,object,result_position,task_id,internal_unique_id,tweet_url,original_tweet_url,name,user_id,username,published_at,content,views_count,retweet_count,likes,quote_count,reply_count,bookmarks_count,media_0_thumbnail,media_0_type,media_0_url,media_1_thumbnail,media_1_type,media_1_url,media_2_thumbnail,media_2_type,media_2_url,media_3_thumbnail,media_3_type,media_3_url,binded_media_url,binded_media_domain,binded_media_thumbnail_url,binded_media_title,binded_media_description,is_retweeted,is_quoted,collected_at,input_url
"""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5","https://x.com/search?q=""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5 until:2020-01-26 since:2020-01-25&src=typed_query",TemblorPR,https://x.com/TemblorPR,TemblorPR,False,2020-01-25 21:38:33+00:00,False,"an hour ago #earthquake 4.8 has hit Barina Barrio (Yauco), Puerto Rico, 7.5mi, 4:20 PM AST (EMSC) https://t.co/RxGn0hr1hR #TemblorPR https://t.co/fziY25gjrX",1.2211856118407905e+18,https://x.com/TemblorPR/status/1221185611840790528,0.0,6.0,0.0,0.0,0.0,https://pbs.twimg.com/media/EPKF1psXsAEPL34.jpg,False,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5","https://x.com/search?q=""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5 until:2020-01-26 since:2020-01-25&src=typed_query",Noticias Telemundo,https://x.com/TelemundoNews,TelemundoNews,True,2020-01-25 22:15:10+00:00,False,"🇵🇷 Nuevo sismo de 5 grados de magnitud se siente en gran parte de #PuertoRico.

➡️ De momento no hay reportes de víctimas o daños en la isla.

Más información 👉🏻 https://t.co/1UOrFxMKCr https://t.co/l9MzFYnjNd",1.2211948279388774e+18,https://x.com/TelemundoNews/status/1221194827938877440,0.0,8.0,11.0,0.0,0.0,https://pbs.twimg.com/media/EPKOOWSX4AABXJW.jpg,False,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5","https://x.com/search?q=""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5 until:2020-01-26 since:2020-01-25&src=typed_query",TemblorPR,https://x.com/TemblorPR,TemblorPR,False,2020-01-25 20:30:15+00:00,False,"5.3 earthquake in 8Km Se Of Maria Antonia, Puerto Rico using Earthquake App for iOS( https://t.co/Syeh1FtFt6) #TemblorPR  https://t.co/Jfv3vqcpDf https://t.co/1v8oEK1Xyu",1.2211684254705132e+18,https://x.com/TemblorPR/status/1221168425470513152,1.0,9.0,12.0,0.0,0.0,https://pbs.twimg.com/media/EPJ2LLDUcAAEgM5.jpg,False,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5","https://x.com/search?q=""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5 until:2020-01-26 since:2020-01-25&src=typed_query",Telemundo,https://x.com/Telemundo,Telemundo,True,2020-01-25 22:15:10+00:00,False,"🇵🇷 Nuevo sismo de 5 grados de magnitud se siente en gran parte de #PuertoRico.

➡️ De momento no hay reportes de víctimas o daños en la isla.

Más información 👉🏻 https://t.co/nBslKMFjg3 https://t.co/qllYrRdJ1m",1.2211948286645166e+18,https://x.com/Telemundo/status/1221194828664516610,3.0,6.0,15.0,0.0,0.0,https://pbs.twimg.com/media/EPKOOZEUUAAUnoE.jpg,False,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5","https://x.com/search?q=""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5 until:2020-01-27 since:2020-01-26&src=typed_query",teleSUR TV,https://x.com/teleSURtv,teleSURtv,True,2020-01-26 10:54:00+00:00,False,"La @redsismica informó que se registró un sismo con magnitud 5.0 en la zona sur de la isla de #PuertoRico → https://t.co/iEsiGP5NAR

El epicentro tuvo una profundidad de 13 kilómetros y se situó a 5.93 Km al suroeste de Guayanilla https://t.co/4k6F6kBKxE",1.221385794126078e+18,https://x.com/teleSURtv/status/1221385794126077953,0.0,16.0,13.0,0.0,0.0,https://pbs.twimg.com/media/EPK5ayyWsAA7yG9.jpg,False,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5","https://x.com/search?q=""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5 until:2020-01-27 since:2020-01-26&src=typed_query",Robby Cortés🇵🇷,https://x.com/RobbyCortes,RobbyCortes,False,2020-01-26 17:37:41+00:00,False,Cuestionamientos muy válidos. Ayer se confirmaron tres (3) casos de influenza en el campamento base de Ponce que se utiliza como refugio. #PuertoRico #PuertoRicoEarthquakes👇🏻https://t.co/UpBAatyWHk,1.221487386611286e+18,https://x.com/RobbyCortes/status/1221487386611286016,3.0,5.0,12.0,0.0,0.0,,False,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5","https://x.com/search?q=""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5 until:2020-01-27 since:2020-01-26&src=typed_query",teleSUR TV,https://x.com/teleSURtv,teleSURtv,True,2020-01-26 13:54:00+00:00,False,"La @redsismica informó que se registró un sismo con magnitud 5.0 en la zona sur de la isla de #PuertoRico → https://t.co/iEsiGP5NAR

El epicentro tuvo una profundidad de 13 kilómetros y se situó a 5.93 Km al suroeste de Guayanilla https://t.co/mlfGuZRLcO",1.2214310925169664e+18,https://x.com/teleSURtv/status/1221431092516966400,0.0,13.0,11.0,0.0,0.0,https://pbs.twimg.com/media/EPK5c-6XsAA1-Si.jpg,False,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5","https://x.com/search?q=""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5 until:2020-01-27 since:2020-01-26&src=typed_query",teleSUR TV,https://x.com/teleSURtv,teleSURtv,True,2020-01-26 07:53:00+00:00,False,"La @redsismica informó que se registró un sismo con magnitud 5.0 en la zona sur de la isla de #PuertoRico → https://t.co/iEsiGPnosp

El epicentro tuvo una profundidad de 13 kilómetros y se situó a 5.93 Km al suroeste de Guayanilla https://t.co/S6JCyPWNcu",1.221340243996971e+18,https://x.com/teleSURtv/status/1221340243996971009,1.0,8.0,8.0,0.0,0.0,https://pbs.twimg.com/media/EPK5YnRXsAEvQOG.jpg,False,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5","https://x.com/search?q=""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5 until:2020-01-27 since:2020-01-26&src=typed_query",teleSUR TV,https://x.com/teleSURtv,teleSURtv,True,2020-01-26 01:23:32+00:00,False,"La @redsismica informó que se registró un sismo con magnitud 5.0 en la zona sur de la isla de #PuertoRico → https://t.co/iEsiGP5NAR

El epicentro tuvo una profundidad de 13 kilómetros y se situó a 5.93 Km al suroeste de Guayanilla https://t.co/AuDb4hcKbp",1.2212422321890918e+18,https://x.com/teleSURtv/status/1221242232189091841,0.0,10.0,7.0,0.0,0.0,https://pbs.twimg.com/media/EPK5VgBXUAAjdo3.jpg,False,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5","https://x.com/search?q=""""Puerto Rico"""" (terremoto OR temblor OR sismo OR réplica OR Guánica OR Ponce OR Yauco OR daño OR apagón OR ayuda OR evacuación) (##temblorPR OR ##sismoPR OR ##terremotoPR OR ##PuertoRico OR ##PRSeLevanta OR ##FuerzaPR) min_retweets:5 until:2020-01-28 since:2020-01-27&src=typed_query",TemblorPR,https://x.com/TemblorPR,TemblorPR,False,2020-01-27 03:36:28+00:00,False,"21 min.ago #earthquake 4.3 has hit Guayabos Barrio (Isabela), Puerto Rico, 6.2mi, 11:15 PM AST (USGS) https://t.co/KqRei1JFL8 #TemblorPR https://t.co/gaavmvUBr7",1.2216380748804465e+18,https://x.com/TemblorPR/status/1221638074880446464,0.0,9.0,6.0,0.0,0.0,https://pbs.twimg.com/media/EPQhWd6WoAApTfE.jpg,False,,,,,tl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
