tweet_id,tweet_text,fecha_creacion,num_likes,num_retweets,idioma_original,usuario,texto_limpio,idioma_confirmado,longitud_texto,es_retweet,num_hashtags,num_exclamaciones,contiene_ayuda
914336717791928320,RT @CBPFlorida: U.S. Customs and Border Protection's Air and Marine Operations shuttling supplies in Puerto Rico as part of relief efforts…,2017-10-01 03:50:35+00:00,0,333,en,sbradley3,rt u s customs and border protection s air and marine operations shuttling supplies in puerto rico as part of relief efforts,en,124,1,0,0,0
914336729733242880,"@drawandstrike @KurtSchlichter If some of the less widely reported issues are correct, more casualties than reported. 46K behind a mudslide? 

https://t.co/Ih4nwjwxhy",2017-10-01 03:50:38+00:00,0,0,en,Cara_TXZEAL,if some of the less widely reported issues are correct more casualties than reported k behind a mudslide,en,104,0,0,0,0
914336748125036544,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,2017-10-01 03:50:42+00:00,0,721,en,Kwakulus,rt this year old boy in puerto rico is raising funds for solar lamps to help people affected by hurricane maria,en,111,1,0,0,1
914336750297792512,RT @ericries: Would you do me a favor and read + retweet this article about the crisis in Puerto Rico? Thank you https://t.co/zjftORdYYp,2017-10-01 03:50:43+00:00,0,590,en,ucab2,rt would you do me a favor and read retweet this article about the crisis in puerto rico thank you,en,98,1,0,0,0
914336760410152966,"RT @USCGSoutheast: .@USCG crews worked together with the @RedCross, @fema, and members of local #police, #fire and #government to distribut…",2017-10-01 03:50:45+00:00,0,4641,en,Tweetn61,rt crews worked together with the and members of local police fire and government to distribut,en,94,1,3,0,0
914336760976437248,RT @loripetty: Wtf u POS @realDonaldTrump 🙄😭 https://t.co/veZWSdc3tf,2017-10-01 03:50:46+00:00,0,8,en,ProudofDanPhil,rt wtf u pos face with rolling eyes loudly crying face,en,54,1,0,0,0
914336768463458305,"Teamsters organize truckers to move supplies in Puerto Rico - Sep. 30, 2017 #SmartNews  https://t.co/PCkYomNxdg",2017-10-01 03:50:47+00:00,0,0,en,kennedy81857,teamsters organize truckers to move supplies in puerto rico sep smartnews,en,73,0,1,0,0
914336773119062016,RT @joegooding: San Juan mayor slamming @potus @realDonaldTrump about Hurricane Maria assistance while standing in front of pallets of food…,2017-10-01 03:50:48+00:00,0,14,en,AnthnyMazzeo,rt san juan mayor slamming about hurricane maria assistance while standing in front of pallets of food,en,102,1,0,0,1
914336794841247744,RT @haussamen: A stark illustration of what colonization looks like. https://t.co/ToIKdjkYco,2017-10-01 03:50:54+00:00,0,2,en,sbradley3,rt a stark illustration of what colonization looks like,en,55,1,0,0,0
914336798343667712,RT @ricky_martin: Thnk U so much @LeoDiCaprio @wecaresolar &amp; @MusicForRelief U R all amazing. My #PuertoRico will B 4ever grateful. U R now…,2017-10-01 03:50:54+00:00,0,571,en,SamTheFlannel,rt thnk u so much amp u r all amazing my puertorico will b ever grateful u r now,en,80,1,1,0,0
914336803603177472,RT @DeptofDefense: #DoD &amp; @FEMA provide humanitarian relief for #PuertoRico &amp; the #USVI in the wake of #HurricaneMaria. #ReliefEfforts http…,2017-10-01 03:50:56+00:00,0,779,en,corrcomm,rt dod amp provide humanitarian relief for puertorico amp the usvi in the wake of hurricanemaria reliefefforts,en,110,1,5,0,0
914336804983189509,"@SenatorMenendez @CarmenYulinCruz https://t.co/kquo9nFI7c
This is what Menendez is NOT telling us. He is a corrupt POS lying about the truth of SJ mayor",2017-10-01 03:50:56+00:00,0,0,en,shirl77778,this is what menendez is not telling us he is a corrupt pos lying about the truth of sj mayor,en,93,0,0,0,0
914336811824173056,RT @KamalaHarris: We can't forget about the US Virgin Islands. Back-to-back storms left many struggling to recover. They also need our help…,2017-10-01 03:50:58+00:00,0,3525,en,MDTeresa,rt we can t forget about the us virgin islands back to back storms left many struggling to recover they also need our help,en,122,1,0,0,1
914336812050481152,"RT @PopCrave: Lady Gaga will be donating $1M to relief efforts for Hurricane Harvey, Irma, José, Maria, and the Mexico City earthquake. htt…",2017-10-01 03:50:58+00:00,0,639,en,giovanniyonce,rt lady gaga will be donating m to relief efforts for hurricane harvey irma josé maria and the mexico city earthquake htt,en,121,1,0,0,0
914336830274854912,Anti-Trump chef feeds thousands in Puerto Rico after Hurricane Maria https://t.co/Gz4uKAmffU https://t.co/hknLTymHsf,2017-10-01 03:51:02+00:00,271,80,en,thehill,anti trump chef feeds thousands in puerto rico after hurricane maria,en,68,0,0,0,0
914336844598390784,RT @Reuters: Factbox: Relief efforts in Puerto Rico after Hurricane Maria https://t.co/u9dhvDnD64 https://t.co/jD7CtFNaN9,2017-10-01 03:51:05+00:00,0,58,en,cbshak,rt factbox relief efforts in puerto rico after hurricane maria,en,62,1,0,0,0
914336850562646017,Reuters: Factbox: Relief efforts in Puerto Rico after Hurricane Maria https://t.co/xp8UHrudvU https://t.co/zZq7gwJ0LM,2017-10-01 03:51:07+00:00,0,0,en,IamFazeen,reuters factbox relief efforts in puerto rico after hurricane maria,en,67,0,0,0,0
914336851535769600,"RT @USCGSoutheast: .@USCG crews worked together with the @RedCross, @fema, and members of local #police, #fire and #government to distribut…",2017-10-01 03:51:07+00:00,0,4641,en,BillieCotter,rt crews worked together with the and members of local police fire and government to distribut,en,94,1,3,0,0
914336874617073665,"RT @chimeraelf: Hurricane Maria’s death toll in #PuertoRico is higher than official count, experts say https://t.co/hzUX6Uxv3B",2017-10-01 03:51:13+00:00,0,2,en,Fight4RFuture,rt hurricane maria s death toll in puertorico is higher than official count experts say,en,87,1,1,0,0
914336875409788928,Yass. They need help too tho. Medua covers what they want to cover https://t.co/DDDex6ZkEl,2017-10-01 03:51:13+00:00,0,0,en,missJifurnasty,yass they need help too tho medua covers what they want to cover,en,64,0,0,0,1
914336883009867776,"By the numbers: Hurricane Maria damage, recovery in Puerto Rico - USA TODAY https://t.co/KMawk6YuJw",2017-10-01 03:51:15+00:00,0,0,en,joelle_dewulf,by the numbers hurricane maria damage recovery in puerto rico usa today,en,71,0,0,0,0
