tweet_id,tweet_text,fecha_creacion,num_likes,num_retweets,idioma,nombre_usuario,texto_limpio,longitud_tweet,num_palabras,es_retweet,contiene_url,num_menciones,num_hashtags,num_exclamaciones,categoria_longitud,contiene_ayuda,dia_semana,hora_dia
914328135545573376,RT @NOAASatellites: NOAA's #GOES16 satellite captured this time lapse of #lightning from #HurricaneMaria as it closed in on the #VirginIsla…,2017-10-01 03:16:29+00:00,0,156,en,danieltissera,noaa s goes satellite captured this time lapse of lightning from hurricanemaria as it closed in on the virginisla,140,19,1,0,1,4,0,Medio,0,Sunday,3
914328146979295232,RT @fema: It’s been 10 days since #Maria made landfall in the USVI &amp; Puerto Rico. Track progress made so far on our timeline: https://t.co/…,2017-10-01 03:16:32+00:00,0,1551,en,kvangand,it s been days since maria made landfall in the usvi amp puerto rico track progress made so far on our timeline,144,22,1,1,1,1,0,Medio,0,Sunday,3
914328146983473152,My heart is breaking for these beautiful little girls. https://t.co/cse2a84irx,2017-10-01 03:16:32+00:00,1,2,en,JaneQCitizenOMG,my heart is breaking for these beautiful little girls,78,9,0,1,0,0,0,Corto,0,Sunday,3
914328186120310785,RT @LiteFootPrints: Fossils fuelled global warming heated seas exacerbating Hurricane Maria. Now Peurto Rico suffers: https://t.co/yL58KTlv…,2017-10-01 03:16:41+00:00,0,4,en,Jackthelad1947,fossils fuelled global warming heated seas exacerbating hurricane maria now peurto rico suffers,140,13,1,1,1,0,0,Medio,0,Sunday,3
914328188448321536,"If you are trying to make a statement, at least make sure you don't have stacks of what you need behind you. #PuertoRico #HurricaneMaria https://t.co/2WdHdzVKKC",2017-10-01 03:16:42+00:00,0,0,en,rawman1,if you are trying to make a statement at least make sure you don t have stacks of what you need behind you puertorico hurricanemaria,160,25,0,1,0,2,0,Medio,0,Sunday,3
914328194647339008,"RT @Reuters: Hurricane Maria power outage puts old, vulnerable at risk in Puerto Rico https://t.co/oQcrcAnWnB https://t.co/NgGIVrfLkQ",2017-10-01 03:16:43+00:00,0,75,en,moha__barakat,hurricane maria power outage puts old vulnerable at risk in puerto rico,133,12,1,1,1,0,0,Medio,0,Sunday,3
914328199013822469,Hurricane Maria relief: how New Yorkers can help Puerto Rico and other disaster victims - Curbed NY https://t.co/go7xaDGoKm,2017-10-01 03:16:44+00:00,0,0,en,cybrarian75x,hurricane maria relief how new yorkers can help puerto rico and other disaster victims curbed ny,123,16,0,1,0,0,0,Medio,1,Sunday,3
914328209264590848,RT @CBPFlorida: U.S. Customs and Border Protection Air and Marine Operations delivering supplies supporting response efforts in Puerto Rico…,2017-10-01 03:16:47+00:00,0,1583,en,PattyJahner,u s customs and border protection air and marine operations delivering supplies supporting response efforts in puerto rico,140,18,1,0,1,0,0,Medio,1,Sunday,3
914328213723082752,RT @CBPFlorida: U.S. Customs and Border Protection's Air and Marine Operations shuttling supplies in Puerto Rico as part of relief efforts…,2017-10-01 03:16:48+00:00,0,333,en,DonelAdams,u s customs and border protection s air and marine operations shuttling supplies in puerto rico as part of relief efforts,139,21,1,0,1,0,0,Medio,1,Sunday,3
914328221432340480,RT @thehill: Anti-Trump chef feeds thousands in Puerto Rico after Hurricane Maria https://t.co/mCmmqC3OIM https://t.co/PotZ6VQdMp,2017-10-01 03:16:50+00:00,0,122,en,doodlebugdeedee,anti trump chef feeds thousands in puerto rico after hurricane maria,129,11,1,1,1,0,0,Medio,0,Sunday,3
914328236225646592,The latest Javier's Daily News! https://t.co/FydRlIBylL Thanks to @adamonzon #hurricanemaria #startups,2017-10-01 03:16:53+00:00,0,0,en,jmsantospr,the latest javier s daily news thanks to hurricanemaria startups,102,10,0,1,1,2,1,Medio,0,Sunday,3
914328236754194432,"RT @Reuters: Hurricane Maria power outage puts old, vulnerable at risk in Puerto Rico https://t.co/oQcrcAnWnB https://t.co/NgGIVrfLkQ",2017-10-01 03:16:53+00:00,0,75,en,GoodTroubleGran,hurricane maria power outage puts old vulnerable at risk in puerto rico,133,12,1,1,1,0,0,Medio,0,Sunday,3
914328245314752512,"This isn't a 3rd world country! #PuertoRico is as American as any of the 50 states!
#HurricaneMaria #MariaRelief

https://t.co/igOcu8kTiG https://t.co/XjQlU8NLcn",2017-10-01 03:16:55+00:00,0,0,en,ResistStayWoke,this isn t a rd world country puertorico is as american as any of the states hurricanemaria mariarelief,164,18,0,1,0,3,2,Medio,1,Sunday,3
